Price,Close,High,Low,Open,Volume,Date,Lag1,Lag2,Lag3,MA5,MA10,Return
2015-02-26,236.88131713867188,240.95425999688402,236.1853680303999,240.4180510685504,12426944,2015-02-10,240.1442413330078,243.612548828125,243.57835388183597,241.81222839355468,243.29879760742188,-0.013587351402739811
2015-02-27,240.4979553222656,241.53616921200046,238.5470357197328,238.5470357197328,10261784,2015-02-11,236.88131713867188,240.1442413330078,243.612548828125,240.94288330078126,242.79681243896485,0.015267722365274183
2015-03-02,247.01235961914065,250.7658500549714,243.69238203704228,246.51035485411757,14385232,2015-02-12,240.4979553222656,236.88131713867188,240.1442413330078,241.6296844482422,243.17900695800782,0.027087150442280494
2015-03-03,247.19488525390625,249.16861658788372,245.75739071649863,247.90222648852554,6029348,2015-02-13,247.01235961914065,240.4979553222656,236.88131713867188,242.34615173339844,243.53952331542968,0.0007389332058000964
2015-03-04,243.07635498046875,253.1161176096979,241.86700879506648,252.13494784768722,12277624,2015-02-14,247.19488525390625,247.01235961914065,240.4979553222656,242.9325744628906,243.32276000976563,-0.01666106590032057
2015-03-05,247.59420776367188,248.71227770203618,242.43742665909488,243.00786766299865,9702452,2015-02-15,243.07635498046875,247.19488525390625,247.01235961914065,245.0751525878906,243.44369049072264,0.01858614665982694
2015-03-09,241.63882446289065,246.84125788737092,240.9542952151204,245.7574199117347,5755808,2015-02-16,247.59420776367188,243.07635498046875,247.19488525390625,245.30332641601564,243.12310485839845,-0.024052999278826537
2015-03-10,240.16709899902344,242.38039910382614,238.44435590821212,242.3233549995419,5134836,2015-02-17,241.63882446289065,247.59420776367188,243.07635498046875,243.93427429199218,242.7819793701172,-0.0060906001638542095
2015-03-11,241.0569305419922,242.3005085510909,239.58520400169255,239.7905683186922,5465536,2015-02-18,240.16709899902344,241.63882446289065,247.59420776367188,242.70668334960936,242.52641754150392,0.0037050518021719547
2015-03-12,240.63482666015625,242.75687832855635,239.83620925753152,241.88979686428084,7530836,2015-02-19,241.0569305419922,240.16709899902344,241.63882446289065,242.21837768554687,242.57547607421876,-0.0017510547441506041
2015-03-13,237.90809631347656,242.77965621282442,236.07126540465265,241.8669507383401,5426780,2015-02-20,240.63482666015625,241.0569305419922,240.16709899902344,240.28115539550782,242.67815399169922,-0.011331403623177971
2015-03-16,239.93890380859372,241.38781837333474,237.87389625364713,238.44433725185732,5348772,2015-02-21,237.90809631347656,240.63482666015625,241.0569305419922,239.94117126464843,242.62224884033202,0.008536100816179504
