Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2015-01-01,217.2353515625,217.77157448998673,215.63811666891775,216.99576911381928,3544940
2015-01-02,220.25868225097656,221.17138787632138,216.85886215263676,216.85886215263676,5900384
2015-01-05,218.39906311035156,221.45661874219482,217.9312903140576,221.33112449819683,4796000
2015-01-06,214.99920654296875,218.2621261811353,213.92677470932165,217.68027916369562,8219680
2015-01-07,215.62669372558594,217.0756082661509,213.63015026516385,214.41736161491522,5746112
2015-01-08,220.15597534179688,221.0915068587105,216.35684695931207,217.73731127715394,9525824
2015-01-09,222.6203155517578,223.612877344769,220.55530794097444,221.99283043675973,8985184
2015-01-12,220.65798950195312,222.3350944334962,220.07614245500247,221.19421240936452,4126412
2015-01-13,219.813720703125,221.77604602182961,218.06817966801236,221.0915168488172,5828348
2015-01-14,219.93927001953125,222.39216668186634,218.98092621261094,219.06078239369418,3685232
2015-01-15,226.61341857910156,227.7657067222978,221.50226116688597,225.8946572806769,11398476
2015-01-16,228.4844207763672,231.57622197821377,227.84552967469915,228.67837906242565,7821308
2015-01-19,229.21463012695312,232.7399587582063,228.8495534094186,231.19976785465934,4239492
2015-01-20,232.9567108154297,234.3371753238504,228.6327650189855,230.45817631654228,8505804
2015-01-21,232.72853088378906,235.69481027067818,232.36344027372903,234.42844791428834,6740612
2015-01-22,233.02513122558594,235.59211553529252,232.40905220590014,233.88079266215482,6470680
2015-01-23,237.9423828125,239.12888905953653,233.7439310979932,235.0217134840865,9987912
2015-01-27,245.0728759765625,245.91711752345654,237.50882267130763,237.98798754531677,9962400
2015-01-28,241.49049377441406,249.442435954613,240.72610838485292,244.1487544756328,11364940
2015-01-29,249.85316467285156,251.1309469762645,242.095166865658,245.289636550973,20567616
2015-01-30,245.82586669921875,249.75051793407044,242.83676109275112,249.75051793407044,10570416
2015-02-02,246.7955780029297,249.39679442121957,240.12141859138288,243.8064728628299,5710352
2015-02-03,242.80250549316406,246.932492827494,240.79456985367992,246.08825127562392,10200688
2015-02-04,243.62391662597656,246.61304957076644,241.2394845294422,242.55149875128592,6197512
2015-02-05,245.6319122314453,249.35119895984127,244.22862170000428,245.28964760687757,8059148
2015-02-06,240.3838348388672,246.19091301557077,239.59663740868004,245.74598018173702,6903120
2015-02-09,237.3262939453125,239.98455486585937,236.04851153670694,238.90071684768697,5231896
2015-02-10,240.60061645507812,242.39182364630352,235.02171409208603,235.02171409208603,9275752
2015-02-11,241.501953125,242.9622879326257,240.26979476064173,241.41067697697906,4161588
2015-02-12,245.51780700683594,246.8640533408763,240.20128573226955,243.0306786699757,5525740
2015-02-13,243.19041442871094,246.88686090902863,242.68840964448393,246.7043086504799,7714500
2015-02-16,243.5897216796875,247.5713886319275,242.43741974324698,245.47217693887035,7388716
2015-02-18,245.24398803710938,247.1036032791011,241.1938572314726,243.58970925734224,5381692
2015-02-19,246.38490295410156,247.5485970946725,242.73408033046496,245.06146861160684,4507004
2015-02-20,244.8446807861328,248.68944729828067,243.8064670941431,247.1150246728657,6206024
2015-02-23,243.57835388183594,246.78424406030348,242.32338344029017,245.7688421727291,5581564
2015-02-24,243.612548828125,244.37693422815354,241.20527656988548,244.21722188315613,5846288
2015-02-25,240.1442413330078,245.24400616211204,239.5852202937482,244.1487482993434,4648524
2015-02-26,236.88131713867188,240.95425999688402,236.1853680303999,240.4180510685504,12426944
2015-02-27,240.49795532226562,241.53616921200046,238.5470357197328,238.5470357197328,10261784
2015-03-02,247.01235961914062,250.7658500549714,243.69238203704228,246.51035485411757,14385232
2015-03-03,247.19488525390625,249.16861658788372,245.75739071649863,247.90222648852554,6029348
2015-03-04,243.07635498046875,253.1161176096979,241.86700879506648,252.13494784768722,12277624
2015-03-05,247.59420776367188,248.71227770203618,242.43742665909488,243.00786766299865,9702452
2015-03-09,241.63882446289062,246.84125788737092,240.9542952151204,245.7574199117347,5755808
2015-03-10,240.16709899902344,242.38039910382614,238.44435590821212,242.3233549995419,5134836
2015-03-11,241.0569305419922,242.3005085510909,239.58520400169255,239.7905683186922,5465536
2015-03-12,240.63482666015625,242.75687832855635,239.83620925753152,241.88979686428084,7530836
2015-03-13,237.90809631347656,242.77965621282442,236.07126540465265,241.8669507383401,5426780
2015-03-16,239.93890380859375,241.38781837333474,237.87389625364713,238.44433725185732,5348772
2015-03-17,241.42205810546875,243.2132373262757,237.95376001357113,241.86699095684062,5369304
2015-03-18,242.6770477294922,244.5823153057961,240.3153994500358,241.9012423144842,5148332
2015-03-19,240.08721923828125,245.01585221891258,239.28860176410433,244.37694709814423,5373572
2015-03-20,240.9314422607422,241.75287164796535,238.6610705954223,239.81337244172872,6483236
2015-03-23,239.0718536376953,241.7301146079595,238.67254488668985,240.9428892152651,5446740
2015-03-24,236.83567810058594,241.18244956771147,236.26523711296127,238.0564440969538,8973564
2015-03-25,235.991455078125,238.83224027774057,235.27269380666624,237.314889414575,10608900
2015-03-26,229.76222229003906,235.52366230088396,228.6555584251585,234.31434412710445,35800620
2015-03-27,231.5192108154297,233.549972603427,230.02464411853757,231.58766095627752,10840896
2015-03-30,236.59613037109375,237.07529527205645,231.09707041150455,232.73994338546447,6955144
2015-03-31,233.35601806640625,237.28065511678096,231.5648248858951,237.28065511678096,5962256
2015-04-01,235.76329040527344,236.58471996203056,231.14271781325138,234.13182340083367,3844196
2015-04-06,235.4665985107422,236.58466831644222,232.69426391678994,236.162547594353,7151172
2015-04-07,235.64918518066406,236.89273546188096,233.57278544017495,235.76327338457625,6197072
2015-04-08,236.28810119628906,237.86249620026737,235.03313089519133,237.31489507900537,4106144
2015-04-09,240.97708129882812,241.63879840435916,235.0216830561756,236.90413828453816,7002784
