Price,Close,High,Low,Open,Volume
Ticker,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS
Date,,,,,
2015-01-01,294.0238952636719,294.98365394751454,292.27127174190565,294.3577109719355,2583280
2015-01-02,302.36968994140625,303.37119294572136,293.77346749454347,293.77346749454347,8272990
2015-01-05,302.9956359863281,306.6260882526367,301.7020336427162,304.87346481882616,10316090
2015-01-06,290.14300537109375,300.3666733415237,288.93286412167333,299.94936876426493,13282427
2015-01-07,282.2979431152344,288.9746205119431,279.961121435418,288.4321385473316,21254332
2015-01-08,289.9761047363281,290.85240230333085,284.7599517335882,287.9313543804829,12558144
2015-01-09,285.3024597167969,292.43813033214724,281.3381920379529,292.0625701953615,15701030
2015-01-12,289.2249755859375,290.1013012271431,282.6735035682234,286.0535727299258,8304115
2015-01-13,284.50958251953125,291.26972071858046,283.5498239934101,291.26972071858046,13100848
2015-01-14,281.1712951660156,285.26074058149,277.9164030029162,283.1325569452304,13127934
2015-01-15,294.4828796386719,297.1118005851373,290.0595909204979,293.89865319335144,16662989
2015-01-16,295.31744384765625,295.943386709151,289.97611332469603,294.48286270447,14726646
2015-01-19,301.1178283691406,301.952409603704,295.0253769519012,296.69453942102786,10277015
2015-01-20,306.91815185546875,308.170037598456,300.1997581364678,300.1997581364678,11477610
2015-01-21,307.5024108886719,309.5888499930336,304.7482843751477,305.87496485347384,12457852
2015-01-22,308.62908935546875,310.7155564626553,304.2892613063164,307.8779690414802,9320935
2015-01-23,309.38018798828125,313.3862000707128,307.7110256260753,312.8854345521981,13525550
2015-01-27,320.0628356933594,321.1477995868511,311.04933691367796,312.55160538790506,13932787
2015-01-28,320.5218200683594,328.3251766961292,318.47709789764576,319.6037781121512,14787690
2015-01-29,317.3921813964844,320.3132295133364,313.42791381636573,317.22525955842065,22085259
2015-01-30,301.0343322753906,318.81097493258864,295.98510098713126,318.35195390638324,31372235
2015-02-02,293.6483459472656,301.0344004896937,292.10436068808633,300.70055675265183,37165959
2015-02-03,289.2667541503906,297.77951674321037,288.014868234368,293.77350422507766,25975650
2015-02-04,287.6392822265625,289.8092101483816,283.9671137535899,288.8077071088053,15639435
2015-02-05,280.08636474609375,288.1818236370956,277.70779803863456,284.5096544068327,18771838
2015-02-06,274.8701171875,283.7584379795022,273.4930541920185,280.4201136327901,17811770
2015-02-09,267.1085205078125,273.3261485712576,265.81489032954966,273.3261485712576,15330887
2015-02-10,276.2889404296875,279.5855205013568,264.06226657609113,265.8148897598776,31301276
2015-02-11,279.335205078125,283.71674964591335,278.70926213517697,278.83443951719704,13732188
2015-02-12,283.0490417480469,284.8851257906601,275.41260639198174,282.25620510373057,14372362
2015-02-13,286.9716491699219,288.68255618940407,283.9254233195862,287.0968265551817,9926537
2015-02-16,282.13104248046875,289.55884068903987,280.7539792398307,289.55884068903987,11084024
2015-02-18,285.7614440917969,287.0967626253055,283.50805554392576,283.50805554392576,8830098
2015-02-19,282.54833984375,286.9716286818456,277.29044177542636,283.8419421259695,10326464
2015-02-20,276.2054443359375,280.25317212776844,274.1606942015979,279.5854848921883,17197010
2015-02-23,274.5780029296875,279.16821266252964,272.9088408480025,277.9163270930575,12236793
2015-02-24,272.11602783203125,276.58106106085023,270.8224255726993,274.9953315678957,12177664
2015-02-25,269.1532897949219,276.2472446965864,268.11004218062493,273.4096571326356,18029910
2015-02-26,268.1517639160156,271.6152941515722,267.1919773129038,270.98935123935536,18356309
2015-02-27,279.7942199707031,281.2964605873685,269.5705508339693,270.9058976171122,17157486
2015-03-02,291.31146240234375,293.73177318539325,284.21750793541383,292.8137310302697,16237130
2015-03-03,290.9776306152344,291.6870064111692,287.18025680967355,290.4351486430114,16309976
2015-03-04,291.56182861328125,302.1193127974493,288.8077023043678,300.45015043139665,27007377
2015-03-05,290.2265319824219,292.020900046179,283.8419806283013,289.099851393417,12677758
2015-03-09,277.74945068359375,286.22049585994233,276.87315305485373,285.4276311341497,13711772
2015-03-10,278.4588928222656,281.92242339537944,275.7047661532312,277.6660560037536,15690129
2015-03-11,277.624267578125,281.2129749711681,274.5780421415627,278.4171322875402,11762499
2015-03-12,282.2562255859375,283.5080833317494,279.2934330175088,281.71374362339793,12265104
2015-03-13,275.5794982910156,288.76590079101993,274.5779954659447,287.9313197728635,14368069
2015-03-16,276.622802734375,277.91640511165065,271.78220892547046,274.99535664047676,12496540
2015-03-17,279.4603576660156,280.83742081175666,275.5378065191232,277.08179150369733,11214858
2015-03-18,279.4186096191406,280.87913351914887,276.2889235523853,277.99980216591285,9603665
2015-03-19,275.5794982910156,284.9268393140668,274.03551360168063,283.34111016479517,15488184
2015-03-20,265.89837646484375,274.7866986266941,264.3126749574126,274.49459940380183,23389273
2015-03-23,261.89239501953125,269.06981035730195,260.7656865529336,268.77771113130365,11517028
2015-03-24,260.3066101074219,264.27090509951927,258.2618879439561,259.13821345196544,18209548
2015-03-25,264.4796142578125,266.2322377272511,259.63902047647395,260.3901408181727,15109255
2015-03-26,257.0101013183594,261.8089506651955,252.545067672467,259.5555616058076,34971712
2015-03-27,262.5183410644531,263.89540430318795,257.2604428682488,261.22471073434775,17383920
2015-03-30,265.9818115234375,266.6494988438899,261.51680665822187,263.97880559492023,14140124
2015-03-31,263.3111572265625,269.361891712728,261.8923776445172,266.1487444070742,14317689
2015-04-01,269.6957702636719,270.7389898554835,262.1010498273228,262.8939146476115,9190830
2015-04-06,268.1100158691406,271.61529052750063,266.524314391392,271.61529052750063,10512775
2015-04-07,264.8968505859375,269.9460819126233,262.8938726515961,269.52880534912646,9849292
2015-04-08,262.9773254394531,266.8163873739313,262.5183044239419,266.14872808312026,9158573
2015-04-09,267.56756591796875,268.6525018823352,264.4795958213267,265.39763795639084,13516230
2015-04-10,265.64801025390625,268.4438530021145,264.7299681550287,266.64951327235644,9053218
2015-04-13,264.4796142578125,266.9833580689499,263.72849391611373,266.9833580689499,8810668
2015-04-15,262.8938903808594,268.9863415435755,261.26644443405985,265.68973319738166,11297754
2015-04-16,260.8074645996094,263.7285132684949,258.84620267276483,263.6450523336902,9682703
2015-04-17,258.8044738769531,262.85220338629637,257.26048851416243,262.1010829439734,11639567
2015-04-20,259.6807556152344,265.0638032148738,257.3021892743989,261.1412797900079,11663690
2015-04-21,259.43035888671875,264.2292077649489,258.67923861241104,259.55553626029604,9953639
2015-04-22,261.18304443359375,262.89395170107565,253.21276270016793,261.4334272568315,12256206
2015-04-23,260.26495361328125,263.64502303981646,258.512330209971,262.26795979318536,10352840
2015-04-24,257.26043701171875,260.8491446415953,256.3006784200964,260.7656837184426,13482295
2015-04-27,252.29466247558594,260.7656798953794,247.62099092966693,259.3051838026756,24819034
2015-04-28,272.78369140625,274.2442155312595,255.04879162367766,255.04879162367766,37447522
2015-04-29,275.5378112792969,279.41864604173685,271.3231608498452,273.57654968017874,24501414
2015-04-30,276.37237548828125,278.41712589902914,271.40660509267394,276.2471981228968,20787994
2015-05-04,274.8283996582031,281.1712327018274,272.24116748163027,277.70770299508195,11308400
