Price,Close,High,Low,Open,Volume,Date,Lag1,Lag2,Lag3,MA5,MA10,Return
2015-01-14,281.1712951660156,285.26074058149,277.9164030029162,283.1325569452304,13127934,2015-01-12,284.50958251953125,289.2249755859375,285.3024597167969,286.03688354492186,290.2014587402344,-0.011733479498134192
2015-01-15,294.4828796386719,297.1118005851373,290.0595909204979,293.89865319335144,16662989,2015-01-13,281.1712951660156,284.50958251953125,289.2249755859375,286.9382385253906,290.2473571777344,0.04734332665358498
2015-01-16,295.31744384765625,295.943386709151,289.97611332469603,294.48286270447,14726646,2015-01-14,294.4828796386719,281.1712951660156,284.50958251953125,288.9412353515625,289.54213256835936,0.0028339990766470535
2015-01-19,301.1178283691406,301.952409603704,295.0253769519012,296.69453942102786,10277015,2015-01-15,295.31744384765625,294.4828796386719,281.1712951660156,291.31980590820314,289.35435180664064,0.019641184909065412
2015-01-20,306.91815185546875,308.170037598456,300.1997581364678,300.1997581364678,11477610,2015-01-16,301.1178283691406,295.31744384765625,294.4828796386719,295.8015197753906,291.0318664550781,0.019262637213288913
2015-01-21,307.5024108886719,309.5888499930336,304.7482843751477,305.87496485347384,12457852,2015-01-17,306.91815185546875,301.1178283691406,295.31744384765625,301.0677429199219,293.55231323242185,0.001903631406845685
2015-01-22,308.62908935546875,310.7155564626553,304.2892613063164,307.8779690414802,9320935,2015-01-18,307.5024108886719,306.91815185546875,301.1178283691406,303.89698486328126,295.41761169433596,0.003663966287421383
2015-01-23,309.38018798828125,313.3862000707128,307.7110256260753,312.8854345521981,13525550,2015-01-19,308.62908935546875,307.5024108886719,306.91815185546875,306.70953369140625,297.82538452148435,0.002433661176854951
2015-01-27,320.0628356933594,321.1477995868511,311.04933691367796,312.55160538790506,13932787,2015-01-20,309.38018798828125,308.62908935546875,307.5024108886719,310.49853515625,300.90917053222654,0.03452919133103238
2015-01-28,320.5218200683594,328.3251766961292,318.47709789764576,319.6037781121512,14787690,2015-01-21,320.0628356933594,309.38018798828125,308.62908935546875,313.2192687988281,304.51039428710936,0.0014340445806702018
2015-01-29,317.3921813964844,320.3132295133364,313.42791381636573,317.22525955842065,22085259,2015-01-22,320.5218200683594,320.0628356933594,309.38018798828125,315.1972229003906,308.1324829101562,-0.009764198491096554
2015-01-30,301.0343322753906,318.81097493258864,295.98510098713126,318.35195390638324,31372235,2015-01-23,317.3921813964844,320.5218200683594,320.0628356933594,313.678271484375,308.7876281738281,-0.05153828632174029
2015-02-02,293.6483459472656,301.0344004896937,292.10436068808633,300.70055675265183,37165959,2015-01-24,301.0343322753906,317.3921813964844,320.5218200683594,310.5319030761719,308.62071838378904,-0.02453536203760376
2015-02-03,289.2667541503906,297.77951674321037,288.014868234368,293.77350422507766,25975650,2015-01-25,293.6483459472656,301.0343322753906,317.3921813964844,304.3726867675781,307.43561096191405,-0.014921220764042231
2015-02-04,287.6392822265625,289.8092101483816,283.9671137535899,288.8077071088053,15639435,2015-01-26,289.2667541503906,293.6483459472656,301.0343322753906,297.7961791992187,305.5077239990234,-0.005626197620283713
2015-02-05,280.0863647460937,288.1818236370956,277.70779803863456,284.5096544068327,18771838,2015-01-27,287.6392822265625,289.2667541503906,293.6483459472656,290.33501586914065,302.7661193847656,-0.026258296231318146
2015-02-06,274.8701171875,283.7584379795022,273.4930541920185,280.4201136327901,17811770,2015-01-28,280.0863647460937,287.6392822265625,289.2667541503906,285.1021728515625,299.3902221679688,-0.01862371116609829
2015-02-09,267.1085205078125,273.3261485712576,265.81489032954966,273.3261485712576,15330887,2015-01-29,274.8701171875,280.0863647460937,287.6392822265625,279.79420776367186,295.1630554199219,-0.028237324446560352
2015-02-10,276.2889404296875,279.5855205013568,264.06226657609113,265.8148897598776,31301276,2015-01-30,267.1085205078125,274.8701171875,280.0863647460937,277.1986450195312,290.78566589355466,0.03436962588996284
2015-02-11,279.335205078125,283.71674964591335,278.70926213517697,278.83443951719704,13732188,2015-01-31,276.2889404296875,267.1085205078125,274.8701171875,275.53782958984374,286.66700439453126,0.011025648162752866
2015-02-12,283.0490417480469,284.8851257906601,275.41260639198174,282.25620510373057,14372362,2015-02-01,279.335205078125,276.2889404296875,267.1085205078125,276.1303649902344,283.2326904296875,0.013295268918513736
2015-02-13,286.9716491699219,288.68255618940407,283.9254233195862,287.0968265551817,9926537,2015-02-02,283.0490417480469,279.335205078125,276.2889404296875,278.55067138671876,281.8264221191406,0.013858402055169972
2015-02-16,282.13104248046875,289.55884068903987,280.7539792398307,289.55884068903987,11084024,2015-02-03,286.9716491699219,283.0490417480469,279.335205078125,281.55517578125,280.67469177246096,-0.016867891666144663
2015-02-18,285.7614440917969,287.0967626253055,283.50805554392576,283.50805554392576,8830098,2015-02-04,282.13104248046875,286.9716491699219,283.0490417480469,283.4496765136719,280.32416076660155,0.012867785052683267
2015-02-19,282.54833984375,286.9716286818456,277.29044177542636,283.8419421259695,10326464,2015-02-05,285.7614440917969,282.13104248046875,286.9716491699219,284.09230346679686,279.8150665283203,-0.01124400899589073
2015-02-20,276.2054443359375,280.25317212776844,274.1606942015979,279.5854848921883,17197010,2015-02-06,282.54833984375,285.7614440917969,282.13104248046875,282.723583984375,279.4269744873047,-0.022448886131555934
2015-02-23,274.5780029296875,279.16821266252964,272.9088408480025,277.9163270930575,12236793,2015-02-07,276.2054443359375,282.54833984375,285.7614440917969,280.24485473632814,279.39776306152345,-0.005892140939374846
2015-02-24,272.11602783203125,276.58106106085023,270.8224255726993,274.9953315678957,12177664,2015-02-08,274.5780029296875,276.2054443359375,282.54833984375,278.2418518066406,279.8985137939453,-0.00896639596539972
2015-02-25,269.1532897949219,276.2472446965864,268.11004218062493,273.4096571326356,18029910,2015-02-09,272.11602783203125,274.5780029296875,276.2054443359375,274.92022094726565,279.18494873046876,-0.010887774824267948
2015-02-26,268.1517639160156,271.6152941515722,267.1919773129038,270.98935123935536,18356309,2015-02-10,269.1532897949219,272.11602783203125,274.5780029296875,272.04090576171876,278.0666046142578,-0.00372102410365982
2015-02-27,279.7942199707031,281.2964605873685,269.5705508339693,270.9058976171122,17157486,2015-02-11,268.1517639160156,269.1532897949219,272.11602783203125,272.7586608886719,277.7411224365234,0.043417413649137426
2015-03-02,291.3114624023437,293.73177318539325,284.21750793541383,292.8137310302697,16237130,2015-02-12,279.7942199707031,268.1517639160156,269.1532897949219,276.1053527832031,278.17510375976565,0.04116326074515242
2015-03-03,290.9776306152344,291.6870064111692,287.18025680967355,290.4351486430114,16309976,2015-02-13,291.3114624023437,279.7942199707031,268.1517639160156,279.87767333984374,279.0597625732422,-0.001145961728921785
2015-03-04,291.56182861328125,302.1193127974493,288.8077023043678,300.45015043139665,27007377,2015-02-14,290.9776306152344,291.3114624023437,279.7942199707031,284.3593811035156,279.6398010253906,0.0020077075918574216
