Price,Close,High,Low,Open,Volume,Date,Lag1,Lag2,Lag3,MA5,MA10,Return
2015-01-14,979.711669921875,983.5381755268788,971.3789242729872,977.4002693344675,1787096,2015-01-12,970.3692626953124,974.9530029296876,975.9629516601562,970.069873046875,971.7751831054687,0.009627682559331108
2015-01-15,986.3742065429688,1002.9425819379693,980.2168567347657,984.0044776019662,5009920,2015-01-13,979.711669921875,970.3692626953124,974.9530029296876,977.47421875,971.5246765136719,0.006800507563235358
2015-01-16,983.6742553710938,988.666183468146,965.0858341314856,988.161148374541,5293830,2015-01-14,986.3742065429688,979.711669921875,970.3692626953124,979.0164794921875,969.68720703125,-0.0027372483525677227
2015-01-19,975.4578857421876,990.9968405130705,972.3500947880108,985.1697324739894,1135074,2015-01-15,983.6742553710938,986.3742065429688,979.711669921875,979.1174560546875,968.5509155273437,-0.008352734234979509
2015-01-20,971.359619140625,982.8390427386946,964.6778865141752,978.9543034393322,2058566,2015-01-16,975.4578857421876,983.6742553710938,986.3742065429688,979.31552734375,970.64287109375,-0.004201377282879171
2015-01-21,976.545654296875,979.7311211306727,966.6201277372705,979.7311211306727,2310480,2015-01-17,971.359619140625,975.4578857421876,983.6742553710938,978.68232421875,974.3760986328125,0.005338944561889658
2015-01-22,976.4487915039062,979.4400221817764,969.4368171956859,977.5947707765752,2113214,2015-01-18,976.545654296875,971.359619140625,975.4578857421876,976.6972412109375,977.0857299804687,-9.918921101392808e-05
2015-01-23,972.5835571289062,983.6356236058125,969.6700020905854,976.6236488451299,3150380,2015-01-19,976.4487915039062,976.545654296875,971.359619140625,974.4791015625,976.7477905273438,-0.00395846091329255
2015-01-27,973.9262084960938,978.966993691794,969.0605673743652,977.9355157868088,2738736,2015-01-20,972.5835571289062,976.4487915039062,976.545654296875,974.1727661132812,976.6451110839844,0.001380499759990883
2015-01-28,988.5427856445312,990.6057418138857,974.2571847968234,974.2961479454062,3121980,2015-01-21,973.9262084960938,972.5835571289062,976.4487915039062,977.6093994140625,978.4624633789062,0.015007889736336377
2015-01-29,990.5081787109376,999.8696905011112,978.1494512313316,987.9196958500746,3734392,2015-01-22,988.5427856445312,973.9262084960938,972.5835571289062,980.401904296875,979.5421142578125,0.0019881719789447416
2015-01-30,966.1412963867188,1002.3221890188706,961.4507987870331,996.755875914217,5817402,2015-01-23,990.5081787109376,988.5427856445312,973.9262084960938,978.3404052734375,977.5188232421875,-0.024600384780194662
2015-02-02,978.6557006835938,981.4777729005027,958.3562813016885,966.1218265335284,3181802,2015-01-24,966.1412963867188,990.5081787109376,988.5427856445312,979.554833984375,977.0169677734375,0.012952975246661946
