Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2015-01-01,988.8792724609375,997.2120145804379,987.1116981102036,997.2120145804379,366830
2015-01-02,1002.0489501953125,1006.5163999017938,990.8415354457118,990.9968870638166,925740
2015-01-05,986.82080078125,1009.9932304229714,980.7605701498529,1002.6511118261614,1754242
2015-01-06,950.4400634765625,982.4891528687895,947.8760983882887,982.4891528687895,2423784
2015-01-07,939.21337890625,963.0850823596857,935.2315212199301,959.5305839229502,2636332
2015-01-08,949.3524780273438,951.3725232159867,940.3204604018755,948.8085576950808,1565408
2015-01-09,975.9629516601562,978.9152962548053,951.7610098693139,953.7033792772104,3197642
2015-01-12,974.9530029296875,982.0620948155162,963.5124646622563,977.788881586493,1596006
2015-01-13,970.3692626953125,982.994668944781,963.4545006848238,978.9545768818689,1468432
2015-01-14,979.711669921875,983.5381755268788,971.3789242729872,977.4002693344675,1787096
2015-01-15,986.3742065429688,1002.9425819379693,980.2168567347657,984.0044776019662,5009920
2015-01-16,983.6742553710938,988.666183468146,965.0858341314856,988.161148374541,5293830
2015-01-19,975.4578857421875,990.9968405130705,972.3500947880108,985.1697324739894,1135074
2015-01-20,971.359619140625,982.8390427386946,964.6778865141752,978.9543034393322,2058566
2015-01-21,976.545654296875,979.7311211306727,966.6201277372705,979.7311211306727,2310480
2015-01-22,976.4487915039062,979.4400221817764,969.4368171956859,977.5947707765752,2113214
2015-01-23,972.5835571289062,983.6356236058125,969.6700020905854,976.6236488451299,3150380
2015-01-27,973.9262084960938,978.966993691794,969.0605673743652,977.9355157868088,2738736
2015-01-28,988.5427856445312,990.6057418138857,974.2571847968234,974.2961479454062,3121980
2015-01-29,990.5081787109375,999.8696905011112,978.1494512313316,987.9196958500746,3734392
2015-01-30,966.1412963867188,1002.3221890188706,961.4507987870331,996.755875914217,5817402
2015-02-02,978.6557006835938,981.4777729005027,958.3562813016885,966.1218265335284,3181802
2015-02-03,995.802001953125,998.4294478685686,975.8918386955805,977.6628558425788,2345054
2015-02-04,978.6944580078125,1001.0374422272978,973.9456116617112,999.5972315776177,2245418
2015-02-05,993.5245971679688,1008.8221863681526,980.523646771813,980.912897921782,4530168
2015-02-06,1002.6142578125,1010.0295157246043,992.9219363108083,993.7587887781472,2136416
2015-02-09,978.1498413085938,1000.025846825233,973.1285360752788,997.0674980627307,2076432
2015-02-10,950.2207641601562,983.346087495437,947.0484041074313,977.0207539291625,3799054
2015-02-11,957.5189819335938,968.165040189316,952.5949923020619,955.6311706464825,2937522
2015-02-12,958.3948974609375,965.265238829658,952.4977792190872,965.265238829658,3107980
2015-02-13,988.211669921875,991.7149313809776,957.6554449730351,961.4506448870629,4158326
2015-02-16,1006.1365356445312,1010.1068789368359,994.5368307065957,996.4830867353758,2364392
2015-02-18,1025.93017578125,1028.7912109186482,998.5269216076665,1006.2341165415049,2660014
2015-02-19,1043.6019287109375,1046.0347486641847,1025.6768922890064,1026.066143481526,2618002
2015-02-20,1041.4613037109375,1050.5113961664626,1028.4992168004844,1050.5113961664626,1801588
2015-02-23,1049.6744384765625,1059.5419965527974,1039.6901810406032,1039.6901810406032,1614892
